# source,"PS5 capture of race session 49, in-game tyre-wear gauge read off the HUD"
# method,"red fill fraction of each of the four HUD bars; +-4% quantisation (bar is ~24 px tall at 720p, yuv420 halves it)"
# car,Lamborghini Huracan GT3 15
# circuit,"Watkins Glen International, Long Course"
# compound,RS
# tyre_wear_mult,2x
# stint1,laps 1-13 (stop during 13)
# stint2,laps 13-20
video_t_s,race_lap,wear_fl,wear_fr,wear_rl,wear_rr
0,0.0,0.0000,0.0000,0.0000,0.0000
2,0.018,0.0000,0.0000,0.0000,0.0000
4,0.0361,0.0000,0.0000,0.0000,0.0000
6,0.0541,0.0000,0.0000,0.0000,0.0000
8,0.0722,0.0000,0.0000,0.0000,0.0000
10,0.0902,0.0000,0.0000,0.0000,0.0000
12,0.1082,0.0000,0.0000,0.0000,0.0000
14,0.1263,0.0000,0.0000,0.0000,0.0000
16,0.1443,0.0000,0.0000,0.0000,0.0000
18,0.1624,0.0201,0.0201,0.0000,0.0000
20,0.1804,0.0000,0.0000,0.0000,0.0000
22,0.1984,0.0000,0.0000,0.0000,0.0000
24,0.2165,0.0000,0.0000,0.0000,0.0000
26,0.2345,0.0000,0.0000,0.0000,0.0000
28,0.2526,0.0000,0.0000,0.0000,0.0000
30,0.2706,0.0000,0.0000,0.0000,0.0000
32,0.2886,0.0000,0.0000,0.0000,0.0000
34,0.3067,0.0000,0.0000,0.0000,0.0000
36,0.3247,0.0000,0.0000,0.0000,0.0000
38,0.3428,0.0000,0.0000,0.0000,0.0000
40,0.3608,0.0000,0.0000,0.0000,0.0000
42,0.3788,0.0000,0.0000,0.0000,0.0000
44,0.3969,0.0000,0.0000,0.0000,0.0000
46,0.4149,0.0000,0.0000,0.0000,0.0000
48,0.433,0.0000,0.0000,0.0000,0.0000
50,0.451,0.0000,0.0000,0.0000,0.0000
52,0.4691,0.0000,0.0000,0.0000,0.0000
54,0.4871,0.0000,0.0000,0.0000,0.0000
56,0.5051,0.0000,0.0201,0.0544,0.0211
58,0.5232,0.0000,0.0000,0.0000,0.0000
60,0.5412,0.0000,0.0000,0.0000,0.0000
